Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 1,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
Total Votes Cast,,189,,94.97%,,46,,138,,,4,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,10,,5.03%,,3,,7,,,0,,0,,0,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,213,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 75,,,,,,,,,,,,,,,,,,,
,FOR STATE SENATOR 13TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP REBECCA POLIS,,98,,49.25%,,22,,74,,,2,,0,,0,,0,,
DEM JOEY GARCIA,,87,,43.72%,,22,,62,,,2,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,185,,92.96%,,44,,136,,,4,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,14,,7.04%,,5,,9,,,0,,0,,0,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
,FOR MEMBER OF HOUSE OF DELEGATES 80TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP SUMMER D.  HARTLEY,,97,,48.74%,,21,,75,,,1,,0,,0,,0,,
DEM JOHN WILLIAMS,,93,,46.73%,,25,,64,,,3,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,190,,95.48%,,46,,139,,,4,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,9,,4.52%,,3,,6,,,0,,0,,0,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
,FOR COUNTY COMMISSIONER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARYANN (BABICH) FOLZ,,83,,41.71%,,19,,62,,,2,,0,,0,,0,,
DEM TOM  BLOOM,,99,,49.75%,,23,,73,,,2,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,2,,1.00%,,1,,1,,,0,,0,,0,,0,,
Total Votes Cast,,184,,92.46%,,43,,136,,,4,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,15,,7.54%,,6,,9,,,0,,0,,0,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,214,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 75,,,,,,,,,,,,,,,,,,,
,FOR PROSECUTING ATTORNEY,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
"DEM GABRIELLE ""GABE"" MUCCIOLA",,138,,69.35%,,38,,98,,,2,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,2,,1.00%,,0,,2,,,0,,0,,0,,0,,
Total Votes Cast,,140,,70.35%,,38,,100,,,2,,0,,0,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,59,,29.65%,,11,,45,,,2,,0,,1,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
,FOR SHERIFF,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JASON MORGAN,,106,,53.27%,,25,,79,,,2,,0,,0,,0,,
DEM TODD FORBES,,81,,40.70%,,19,,60,,,2,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,187,,93.97%,,44,,139,,,4,,0,,0,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,12,,6.03%,,5,,6,,,0,,0,,1,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
,FOR ASSESSOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RICH JACOBS,,69,,34.67%,,15,,52,,,2,,0,,0,,0,,
DEM MARK A. MUSICK,,117,,58.79%,,28,,86,,,2,,0,,1,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,186,,93.47%,,43,,138,,,4,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,13,,6.53%,,6,,7,,,0,,0,,0,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,215,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 75,,,,,,,,,,,,,,,,,,,
,FOR SURVEYOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP BOB ANDRIOTTO,,145,,72.86%,,34,,108,,,3,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,3,,1.51%,,0,,3,,,0,,0,,0,,0,,
Total Votes Cast,,148,,74.37%,,34,,111,,,3,,0,,0,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,51,,25.63%,,15,,34,,,1,,0,,1,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
,AMENDMENT NO. 1,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
For,,75,,37.69%,,16,,58,,,1,,0,,0,,0,,
Against,,109,,54.77%,,29,,76,,,3,,0,,1,,0,,
Total Votes Cast,,184,,92.46%,,45,,134,,,4,,0,,1,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,15,,7.54%,,4,,11,,,0,,0,,0,,0,,
Contest Totals,,199,,100.00%,,49,,145,,,4,,0,,1,,0,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,216,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 77,,,,,,,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Early Vote,,Absentee,,,Canvass,,Absentee After ED,,Provisional,,,,
Registered Voters - Total,,"2,339",,,,,,,,,,,,,,,,,
Ballots Cast - Total,,"1,627",,593,,991,,37,,,0,,4,,2,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,0,,0,,0,,,,
Voter Turnout - Total,,69.56%,,,,,,,,,,,,,,,,,
,FOR PRESIDENT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP DONALD J. TRUMP,,861,,52.92%,,342,,502,,,15,,0,,2,,0,,
DEM KAMALA D. HARRIS,,703,,43.21%,,220,,459,,,20,,0,,2,,2,,
LBN CHASE OLIVER,,18,,1.11%,,11,,7,,,0,,0,,0,,0,,
MTN JILL STEIN,,6,,0.37%,,4,,2,,,0,,0,,0,,0,,
IND ROBERT F. KENNEDY JR.,,23,,1.41%,,13,,9,,,1,,0,,0,,0,,
Write-In Totals,,7,,0.43%,,1,,5,,,1,,0,,0,,0,,
Total Votes Cast,,"1,618",,99.45%,,591,,984,,,37,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,9,,0.55%,,2,,7,,,0,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR U.S. SENATOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JIM JUSTICE,,886,,54.46%,,340,,527,,,17,,0,,2,,0,,
DEM GLENN ELLIOTT,,656,,40.32%,,213,,421,,,18,,0,,2,,2,,
LBN DAVID MORAN,,56,,3.44%,,31,,23,,,2,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,598",,98.22%,,584,,971,,,37,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,29,,1.78%,,9,,20,,,0,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR U.S. HOUSE OF REPS 2ND DIST,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RILEY MOORE,,877,,53.90%,,330,,527,,,18,,0,,2,,0,,
DEM STEVEN WENDELIN,,663,,40.75%,,218,,423,,,18,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.06%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,541",,94.71%,,549,,950,,,36,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,86,,5.29%,,44,,41,,,1,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,217,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 77,,,,,,,,,,,,,,,,,,,
,FOR GOVERNOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP PATRICK MORRISEY,,808,,49.66%,,310,,482,,,14,,0,,2,,0,,
DEM STEVE WILLIAMS,,695,,42.72%,,223,,450,,,18,,0,,2,,2,,
LBN ERIKA KLIE KOLENICH,,42,,2.58%,,27,,13,,,2,,0,,0,,0,,
MTN CHASE LINKO-LOOPER,,12,,0.74%,,6,,5,,,1,,0,,0,,0,,
CST S. MARSHALL WILSON,,16,,0.98%,,6,,10,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.06%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,"1,574",,96.74%,,572,,961,,,35,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,53,,3.26%,,21,,30,,,2,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR SECRETARY OF STATE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KRIS WARNER,,897,,55.13%,,346,,530,,,19,,0,,2,,0,,
DEM THORNTON COOPER,,650,,39.95%,,215,,414,,,17,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,547",,95.08%,,561,,944,,,36,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,80,,4.92%,,32,,47,,,1,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR AUDITOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARK HUNT,,842,,51.75%,,324,,502,,,14,,0,,2,,0,,
DEM MARY ANN ROEBUCK CLAYTOR,,678,,41.67%,,225,,428,,,21,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,520",,93.42%,,549,,930,,,35,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,107,,6.58%,,44,,61,,,2,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,218,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 77,,,,,,,,,,,,,,,,,,,
,FOR TREASURER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP LARRY PACK,,"1,203",,73.94%,,458,,719,,,23,,0,,3,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,24,,1.48%,,8,,16,,,0,,0,,0,,0,,
Total Votes Cast,,"1,227",,75.41%,,466,,735,,,23,,0,,3,,0,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,400,,24.59%,,127,,256,,,14,,0,,1,,2,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR COMMISSIONER OF AGRICULTURE,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP KENT LEONHARDT,,954,,58.64%,,351,,582,,,18,,0,,2,,1,,
DEM DEBORAH STILES,,584,,35.89%,,199,,364,,,18,,0,,2,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,538",,94.53%,,550,,946,,,36,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,89,,5.47%,,43,,45,,,1,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR ATTORNEY GENERAL,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
"REP JOHN ""JB"" McCUSKEY",,894,,54.95%,,339,,537,,,16,,0,,2,,0,,
DEM TERESA TORISEVA,,644,,39.58%,,212,,408,,,20,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.06%,,1,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,539",,94.59%,,552,,945,,,36,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,88,,5.41%,,41,,46,,,1,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,219,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 77,,,,,,,,,,,,,,,,,,,
,FOR STATE SENATOR 2ND DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP CHRIS ROSE,,"1,217",,74.80%,,461,,728,,,24,,0,,3,,1,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,25,,1.54%,,6,,19,,,0,,0,,0,,0,,
Total Votes Cast,,"1,242",,76.34%,,467,,747,,,24,,0,,3,,1,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,385,,23.66%,,126,,244,,,13,,0,,1,,1,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR MEMBER OF HOUSE OF DELEGATES 78TH DISTRICT,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP GENO CHIARELLI,,830,,51.01%,,313,,496,,,19,,0,,2,,0,,
DEM DIANE MARKET GASTON,,710,,43.64%,,241,,448,,,17,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,540",,94.65%,,554,,944,,,36,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,87,,5.35%,,39,,47,,,1,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR COUNTY COMMISSIONER,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP MARYANN (BABICH) FOLZ,,732,,44.99%,,283,,433,,,14,,0,,2,,0,,
DEM TOM  BLOOM,,824,,50.65%,,284,,514,,,22,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,1,,0.06%,,0,,1,,,0,,0,,0,,0,,
Total Votes Cast,,"1,557",,95.70%,,567,,948,,,36,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,70,,4.30%,,26,,43,,,1,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,220,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 77,,,,,,,,,,,,,,,,,,,
,FOR PROSECUTING ATTORNEY,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
"DEM GABRIELLE ""GABE"" MUCCIOLA",,"1,131",,69.51%,,423,,679,,,25,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,17,,1.04%,,4,,13,,,0,,0,,0,,0,,
Total Votes Cast,,"1,148",,70.56%,,427,,692,,,25,,0,,2,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,479,,29.44%,,166,,299,,,12,,0,,2,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR SHERIFF,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP JASON MORGAN,,750,,46.10%,,297,,437,,,14,,0,,2,,0,,
DEM TODD FORBES,,799,,49.11%,,261,,513,,,21,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,549",,95.21%,,558,,950,,,35,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,78,,4.79%,,35,,41,,,2,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
,FOR ASSESSOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
REP RICH JACOBS,,656,,40.32%,,262,,381,,,11,,0,,2,,0,,
DEM MARK A. MUSICK,,892,,54.82%,,296,,569,,,23,,0,,2,,2,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
NO CANDIDATE(S) NOMINATED,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Write-In Totals,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Total Votes Cast,,"1,548",,95.14%,,558,,950,,,34,,0,,4,,2,,
Overvotes,,0,,0.00%,,0,,0,,,0,,0,,0,,0,,
Undervotes,,79,,4.86%,,35,,41,,,3,,0,,0,,0,,
Contest Totals,,"1,627",,100.00%,,593,,991,,,37,,0,,4,,2,,
Precinct Summary - 11/12/2024     2:58 PM,,,,,,,,,,221,,,,,,,,, of 258
Report generated with Electionware Copyright © 2007-2019,,,,,,,,,,,,,,,,,,,
Summary Results Report,,,,,,,,,,OFFICIAL RESULTS,,,,,,,,,
General Election,,,,,,,,,,,,,,,,,,,
"November 5, 2024",,,,,,,,,,"Monongalia County, West Virginia",,,,,,,,,
PRECINCT 77,,,,,,,,,,,,,,,,,,,
,FOR SURVEYOR,,,,,,,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Early Vote,,,Absentee,,Canvass,,Absentee After ED,,Provisional,
